47,8
47,5
47,10
47,3
47,8
47,9
47,5
47,8
47,8
47,10
47,2
47,2
47,3
47,1
47,3
47,8
48,5
48,5
48,5
48,8
48,8
48,5
48,3
48,8
48,8
48,5
48,2
48,9
48,3
48,1
48,8
48,6
49,8
49,5
49,1
49,3
49,10
49,9
49,10
49,10
49,3
49,2
49,6
49,1
49,8
49,2
49,8
49,8
50,8
50,10
50,5
50,10
50,8
50,3
50,10
50,3
50,10
50,9
50,5
50,10
50,8
50,2
50,8
50,3
51,5
51,3
51,5
51,3
51,3
51,8
51,8
51,8
51,8
51,5
51,2
51,2
51,1
51,1
51,3
51,10
52,2
52,8
52,10
52,8
52,3
52,3
52,10
52,8
52,8
52,2
52,2
52,2
52,2
52,9
52,10
52,8
53,9
53,8
53,10
53,4
53,8
53,5
53,3
53,3
53,8
53,5
53,2
53,5
53,8
53,1
53,5
53,10
54,9
54,6
54,3
54,3
54,8
54,3
54,8
54,8
54,9
54,9
54,1
54,2
54,1
54,4
54,10
55,5
55,8
55,3
55,3
55,6
55,4
55,3
55,8
55,8
55,9
55,2
55,9
55,1
55,10
55,3
56,10
56,10
56,8
56,8
56,8
56,3
56,3
56,8
56,9
56,8
56,8
56,1
56,5
56,4
56,8
57,1
57,8
57,8
57,3
57,8
57,8
57,8
57,1
57,2
57,2
57,6
57,1
57,3
57,3
58,1
58,8
58,8
58,3
58,2
58,8
58,8
58,9
58,2
58,9
58,9
58,10
58,1
59,5
59,8
59,8
59,3
59,2
59,8
59,8
59,2
59,5
59,8
59,2
59,10
59,3
60,9
60,4
60,10
60,8
60,8
60,5
60,4
60,1
60,5
60,9
60,5
60,8
61,10
61,8
61,8
61,8
61,8
61,1
61,2
61,1
61,9
61,2
61,10
61,10
62,2
62,8
62,3
62,8
62,10
62,2
62,2
62,8
62,9
62,9
62,4
62,9
63,10
63,4
63,3
63,3
63,8
63,2
63,2
63,2
63,1
63,5
63,10
63,3
64,10
64,10
64,8
64,8
64,3
64,2
64,3
64,9
64,9
64,2
64,8
64,2
65,3
65,3
65,8
65,8
65,8
65,6
65,8
65,2
65,2
65,9
65,10
65,10
66,9
66,10
66,3
66,8
66,8
66,5
